127.0.0.1 - - [29/Jun/2021:11:43:54 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Jun/2021:11:44:09 +0900] "GET /myfront/login.html HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [29/Jun/2021:11:44:32 +0900] "GET /front/index.html HTTP/1.1" 200 23745
0:0:0:0:0:0:0:1 - - [29/Jun/2021:11:44:32 +0900] "GET /front/css/app.css HTTP/1.1" 200 344015
0:0:0:0:0:0:0:1 - - [29/Jun/2021:11:44:32 +0900] "GET /front/img/avatars/avatar-5.jpg HTTP/1.1" 200 20325
0:0:0:0:0:0:0:1 - - [29/Jun/2021:11:44:32 +0900] "GET /front/js/app.js HTTP/1.1" 200 1499396
0:0:0:0:0:0:0:1 - - [29/Jun/2021:11:44:32 +0900] "GET /front/img/avatars/avatar-4.jpg HTTP/1.1" 200 13771
0:0:0:0:0:0:0:1 - - [29/Jun/2021:11:44:32 +0900] "GET /front/img/avatars/avatar.jpg HTTP/1.1" 200 14529
0:0:0:0:0:0:0:1 - - [29/Jun/2021:11:44:32 +0900] "GET /front/img/avatars/avatar-2.jpg HTTP/1.1" 200 10823
0:0:0:0:0:0:0:1 - - [29/Jun/2021:11:44:32 +0900] "GET /front/img/avatars/avatar-3.jpg HTTP/1.1" 200 19962
0:0:0:0:0:0:0:1 - - [29/Jun/2021:11:44:32 +0900] "GET /front/fonts/Inter-Regular.woff2 HTTP/1.1" 200 92560
0:0:0:0:0:0:0:1 - - [29/Jun/2021:11:44:32 +0900] "GET /front/fonts/Inter-SemiBold.woff2 HTTP/1.1" 200 99268
0:0:0:0:0:0:0:1 - - [29/Jun/2021:11:44:32 +0900] "GET /front/fonts/Inter-Italic.woff2 HTTP/1.1" 200 99208
0:0:0:0:0:0:0:1 - - [29/Jun/2021:11:44:32 +0900] "GET /front/img/icons/icon-48x48.png HTTP/1.1" 200 1662
0:0:0:0:0:0:0:1 - - [29/Jun/2021:11:44:34 +0900] "GET /front/pages-profile.html HTTP/1.1" 200 21502
0:0:0:0:0:0:0:1 - - [29/Jun/2021:11:44:34 +0900] "GET /front/img/photos/unsplash-1.jpg HTTP/1.1" 200 84088
0:0:0:0:0:0:0:1 - - [29/Jun/2021:11:44:34 +0900] "GET /front/img/photos/unsplash-2.jpg HTTP/1.1" 200 41834
0:0:0:0:0:0:0:1 - - [29/Jun/2021:11:44:34 +0900] "GET /front/fonts/fa-solid-900.woff2 HTTP/1.1" 200 80148
0:0:0:0:0:0:0:1 - - [29/Jun/2021:11:44:35 +0900] "GET /front/pages-settings.html HTTP/1.1" 200 19989
0:0:0:0:0:0:0:1 - - [29/Jun/2021:11:44:35 +0900] "GET /front/pages-invoice.html HTTP/1.1" 200 16716
0:0:0:0:0:0:0:1 - - [29/Jun/2021:11:44:35 +0900] "GET /front/fonts/Inter-Bold.woff2 HTTP/1.1" 200 99404
0:0:0:0:0:0:0:1 - - [29/Jun/2021:11:44:43 +0900] "GET /front/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2021:11:44:43 +0900] "GET /front/img/icons/icon-48x48.png HTTP/1.1" 200 1662
